timestamp,pitch_deg,roll_deg,yaw_deg
0.22005152702331543,-5.55,-0.75,0.27
0.4318981170654297,-5.55,-0.99,0.31
0.6345341205596924,-5.63,-0.99,0.33
0.832343339920044,-5.61,-1.04,0.24
1.024158239364624,-5.62,-1.01,0.25
1.2365458011627197,-5.58,-0.88,0.25
1.4354236125946045,-5.58,-0.66,0.25
1.628624439239502,-5.6,-0.8,0.19
1.8558504581451416,-5.61,-0.83,0.16
2.0625112056732178,-5.57,-0.84,0.2
2.263584613800049,-5.57,-0.84,0.19
2.4752283096313477,-5.59,-0.86,0.24
2.6695516109466553,1.05,-0.95,0.16
2.884610652923584,9.3,-1.01,0.04
3.0947320461273193,17.92,-1.11,-0.21
3.295424461364746,26.77,-1.12,-0.37
3.4888854026794434,36.52,-1.13,-0.58
3.6950838565826416,45.41,-1.06,-0.78
3.8954200744628906,54.24,-1.02,-0.95
4.0826637744903564,63.11,-0.91,-1.16
4.304224014282227,72.95,-0.76,-1.33
4.513463735580444,81.81,-0.63,-1.49
4.716478586196899,84.0,-0.59,-1.51
4.916434049606323,83.99,-0.59,-1.5
5.107660293579102,84.04,-0.49,-1.48
5.334712982177734,83.97,-0.67,-1.38
5.52772331237793,83.73,-0.65,-1.48
5.735053300857544,83.86,-0.57,-1.53
5.957268953323364,83.91,-0.59,-1.54
6.157077074050903,83.95,-0.63,-1.5
6.348811388015747,83.97,-0.72,-1.45
6.5549092292785645,83.9,-0.76,-1.53
6.756665945053101,83.96,-0.72,-1.49
6.952525615692139,83.72,-0.74,-1.48
7.1572630405426025,83.65,-0.72,-1.47
7.377585172653198,83.66,-0.74,-1.44
7.562401294708252,91.04,-0.65,-1.48
7.776132106781006,100.18,-0.45,-1.57
7.977662563323975,108.97,-0.31,-1.69
8.194024085998535,117.74,-0.12,-1.75
8.384262323379517,127.56,0.11,-1.79
8.596022844314575,136.42,0.34,-1.8
8.81319808959961,145.26,0.54,-1.73
9.016897916793823,154.25,0.71,-1.67
9.215624809265137,163.06,0.88,-1.55
9.416362762451172,172.22,1.03,-1.42
9.61723279953003,173.18,1.06,-1.4
9.817298889160156,173.18,1.06,-1.39
10.037346363067627,173.65,1.15,-1.28
10.227362394332886,173.15,0.95,-1.33
10.431128025054932,173.06,0.87,-1.42
10.637205600738525,173.02,0.82,-1.43
10.837276458740234,173.06,0.95,-1.43
11.036577939987183,173.16,1.0,-1.39
11.25749683380127,173.2,1.11,-1.38
11.453255414962769,173.09,1.03,-1.44
11.65387511253357,173.16,1.09,-1.45
11.857692003250122,173.26,1.04,-1.43
12.057518005371094,173.23,1.04,-1.43
12.269953727722168,173.19,1.04,-1.4
12.465954065322876,179.93,1.12,-1.22
12.672964096069336,-171.91,1.22,-1.08
12.876559972763062,-162.46,1.29,-0.92
13.076949119567871,-154.5,1.37,-0.76
13.266644954681396,-144.66,1.37,-0.62
13.496371269226074,-135.85,1.39,-0.41
13.684120655059814,-126.78,1.39,-0.19
13.897378206253052,-117.17,1.27,0.02
14.094459772109985,-108.29,1.21,0.19
14.296753883361816,-99.44,1.08,0.35
14.502999067306519,-97.33,1.07,0.41
14.714110612869263,-97.33,1.07,0.41
14.902408599853516,-97.23,1.11,0.44
15.110009670257568,-97.23,0.95,0.45
15.33484935760498,-97.56,0.96,0.38
15.534526109695435,-97.48,1.02,0.36
15.743478536605835,-97.36,0.97,0.32
15.954777717590332,-97.42,1.05,0.31
16.145161151885986,-97.35,1.1,0.31
16.357452869415283,-97.36,1.15,0.27
16.55605673789978,-97.41,1.08,0.25
16.777477979660034,-97.36,0.99,0.3
16.96975588798523,-97.35,1.01,0.29
17.17656660079956,-97.31,0.99,0.28
17.376928567886353,-94.88,0.98,0.34
17.594157934188843,-87.39,0.87,0.49
17.79748272895813,-78.08,0.63,0.55
18.012268781661987,-68.43,0.45,0.65
18.21600651741028,-59.56,0.22,0.71
18.41296362876892,-50.69,0.02,0.7
18.61719799041748,-41.75,-0.18,0.65
18.809212923049927,-32.83,-0.39,0.57
19.009867429733276,-23.99,-0.57,0.5
19.20899224281311,-15.06,-0.77,0.39
19.41541862487793,-7.78,-0.88,0.27
19.609172582626343,-7.52,-0.9,0.29
19.838330268859863,-7.51,-0.93,0.3
